"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_mediata","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud_WGS84","Latitud_WGS84"
"2023S000097    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020660000","Divendres","2023",1,"Gener","6","15","Tarda","No respectar distàncies","432687.43 ","4584673.71","2.193506522","41.408945895"
"2023S007161    ",10,"Sant Martí",68,"el Poblenou",110009,"Ramon Turró","0180 0180","Divendres","2023",12,"Desembre","1","15","Tarda","Desobeir semàfor","433268.89 ","4583467.86","2.20059583","41.398133627"
"2023S002391    ",10,"Sant Martí",68,"el Poblenou",110009,"Ramon Turró","0182 0182","Dilluns","2023",4,"Abril","24","22","Nit","Altres","433300.75 ","4583483.72","2.200975176","41.398279119"
"2023S003278    ",10,"Sant Martí",71,"Provençals del Poblenou",253902,"Perú","0080 0080","Divendres","2023",6,"Juny","2","14","Tarda","Manca d'atenció a la conducció","432901.43 ","4584611.26","2.196073636","41.408401328"
"2023S003217    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020750000","Dimarts","2023",5,"Maig","30","07","Matí","Desobeir altres senyals","433372.35 ","4585277.86","2.201633992","41.41444441"
"2023S001586    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020820000","Diumenge","2023",3,"Març","19","20","Tarda","No determinada","433865.68 ","4585738.91","2.207486014","41.41863774"
"2023S003315    ",10,"Sant Martí",71,"Provençals del Poblenou",200600,"Marroc","0017 0017","Dissabte","2023",6,"Juny","3","20","Tarda","No respectar distàncies","433121.68 ","4584464.69","2.19872478","41.407099577"
"2023S000147    ",10,"Sant Martí",68,"el Poblenou",30500,"Badajoz","0038 0038","Dilluns","2023",1,"Gener","9","16","Tarda","Altres","433123.81 ","4583248.94","2.198884647","41.39614981"
"2023S003450    ",10,"Sant Martí",71,"Provençals del Poblenou",305507,"Sant Joan de Malta","0083 0089","Divendres","2023",6,"Juny","9","21","Tarda","No determinada","432668.69 ","4584589.21","2.193291734","41.408183256"
"2023S007593    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020720000","Dijous","2023",12,"Desembre","21","18","Tarda","Altres","433199.77 ","4585018.94","2.199597762","41.412098054"
"2023S003617    ",10,"Sant Martí",71,"Provençals del Poblenou",253902,"Perú","0141 0149","Dissabte","2023",6,"Juny","17","17","Tarda","No respectar distàncies","433092.71 ","4584796.53","2.198341497","41.410085958"
"2023S006856    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",270901,"Pujades","0323 0323","Dissabte","2023",11,"Novembre","18","17","Tarda","No determinada","433940.1  ","4584505.75","2.208511197","41.407537109"
"2023S005951    ",10,"Sant Martí",68,"el Poblenou",242906,"Pallars","0220 0220","Diumenge","2023",10,"Octubre","8","07","Matí","Manca d'atenció a la conducció","433179.01 ","4583945.06","2.199468028","41.402424177"
"2023S005619    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",144601,"Diagonal","0032 0032","Dissabte","2023",9,"Setembre","23","16","Tarda","Desconegut","434419.1  ","4584784.71","2.214211356","41.410088881"
"2023S005681    ",10,"Sant Martí",68,"el Poblenou",42306,"Bilbao","0052 0052","Dimarts","2023",9,"Setembre","26","06","Matí","Manca d'atenció a la conducció","433491.9  ","4584031.59","2.203201401","41.403229491"
"2023S003174    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",30409,"Bac de Roda","0002X0002X","Dissabte","2023",5,"Maig","27","13","Matí","Manca d'atenció a la conducció","434217.23 ","4583928.75","2.211889326","41.402362947"
"2023S006166    ",10,"Sant Martí",68,"el Poblenou",346800,"Poblenou","0041 0041","Dimecres","2023",10,"Octubre","18","19","Tarda","No determinada","433471.15 ","4583630.06","2.202997334","41.399611292"
"2023S007519    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",270901,"Pujades","0027 0027","Dimarts","2023",12,"Desembre","19","07","Matí","No determinada","432405.38 ","4583010.31","2.190318066","41.39394043"
"2023S003394    ",10,"Sant Martí",68,"el Poblenou",330107,"Tànger","0160X0160X","Dimecres","2023",6,"Juny","7","17","Tarda","Manca d'atenció a la conducció","432896.49 ","4584227.11","2.196057155","41.404940981"
"2023S002006    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",76807,"Sardenya","0096 0096","Diumenge","2023",4,"Abril","9","04","Nit","Manca d'atenció a la conducció","432172.96 ","4582883.83","2.187552331","41.392781679"
